codigo_municipio;nome_municipio;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
3115458;Catuji (MG);1317;1464;2021;2363;2776;2778;2531;2591;3532;5477;4654;5267;6092;7415;6187;2977;2767
3115474;Catuti (MG);2100;1969;3807;3092;2103;2344;2661;2890;3907;3597;4119;4332;3740;3639;5557;3572;3383
3115508;Caxambu (MG);1039;1287;1616;1492;1995;2233;2415;2557;2434;3331;2841;2724;3289;2984;4259;1821;1672
3115607;Cedro do Abaeté (MG);713;842;975;1061;1140;1262;1313;1484;1419;1646;1560;1960;2132;3040;2669;2438;2046
3115706;Central de Minas (MG);1852;2218;2414;2210;2259;2912;3234;3227;3322;4260;4832;6397;6947;7135;7757;3751;3685
3115805;Centralina (MG);14256;18563;27186;18013;16546;19654;25955;23693;26488;51489;51446;45748;28544;45149;57639;81530;49554
3115904;Chácara (MG);1505;1686;1877;1596;1820;2488;5387;2917;6369;2954;3287;5051;6195;5128;5515;3661;3495
3116001;Chalé (MG);2426;3364;4913;3931;5625;5404;9651;5382;6826;12307;10831;9501;14827;12864;17403;13150;13365
3116100;Chapada do Norte (MG);1426;2381;2036;1758;1789;2231;2419;2818;2918;3816;3369;6197;6238;4721;5068;7448;7886
3116159;Chapada Gaúcha (MG);11659;13040;13852;16309;13272;18545;23547;28278;28676;37670;46472;41146;38872;42284;57187;50496;55960
3116209;Chiador (MG);1086;1270;1501;1391;1462;1994;2470;2335;2293;2495;2447;3246;3409;2799;2768;2581;2501
3116308;Cipotânea (MG);2775;2692;3039;3272;2359;2398;2598;2797;2988;3509;3454;5164;4961;6032;5734;3280;3680
3116407;Claraval (MG);3199;4785;6411;5613;8030;7524;10558;9659;10920;12917;19702;11347;24778;12074;33830;15561;21671
3116506;Claro dos Poções (MG);4931;6069;6429;8447;8110;10750;12665;13697;13102;13845;31137;14245;11347;10807;11835;8583;8465
3116605;Cláudio (MG);7494;9461;9551;10393;10252;14954;15523;17286;16947;22342;19416;22972;22098;22029;30795;29101;28207
3116704;Coimbra (MG);3379;4559;6880;7186;6746;7676;8853;8250;9409;11342;11382;14460;12596;14203;16821;17898;15659
3116803;Coluna (MG);2737;3486;4454;4737;4532;5535;5893;6355;6180;6948;10484;10279;9885;9870;10128;10938;10340
3116902;Comendador Gomes (MG);18019;20468;22187;23293;23318;24910;26851;37256;45516;49112;36696;50575;51771;46621;58112;55135;53316
3117009;Comercinho (MG);3361;3520;3905;4196;4045;4566;5035;5429;5282;5333;5318;5797;6740;5333;5924;3754;3329
3117108;Conceição da Aparecida (MG);14692;10321;35012;19287;31660;24304;38428;29746;37353;51671;45125;28316;47871;61874;63039;64289;47467
3117207;Conceição das Pedras (MG);4294;4779;5898;6577;6499;6641;7725;6795;8343;14811;12313;10326;12311;13351;18669;7324;7528
3117306;Conceição das Alagoas (MG);40339;49703;71690;66217;91837;79832;99068;102577;106723;177349;174574;166648;142024;119593;201483;232191;252169
3117405;Conceição de Ipanema (MG);1528;2478;2894;2982;4127;2768;3121;4417;4363;6246;5414;5559;7696;6063;7212;9999;9429
3117504;Conceição do Mato Dentro (MG);5133;6415;8350;8062;8639;9941;15363;16193;14042;15007;13464;30693;23229;10980;13157;12015;10727
